district,month,cumm_rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max,year
Adilabad,Apr,0.421578947368421,25.683859649122805,39.59649122807018,19.607017543859648,55.28684210526316,0.1711895910780669,16.647211895910782,2018
Adilabad,Aug,15.750764006791172,23.72988115449915,29.81748726655348,72.37283531409167,92.24057724957557,0.711310592459605,15.94219030520646,2018
Adilabad,Dec,0.3149210903873745,14.151936872309898,28.37575322812052,43.21822094691535,88.74863701578192,0.1021052631578947,7.016992481203008,2018
Adilabad,Feb,0.6080827067669173,17.21372180451128,33.474436090225566,25.25883458646617,66.95977443609023,0.1476190476190476,11.62281746031746,2018
Adilabad,Jan,0.0,12.46095076400679,31.436757215619693,23.637521222410864,69.65297113752122,0.0738351254480286,9.502508960573476,2018
Adilabad,Jul,10.817317487266552,23.990152801358235,29.995755517826822,69.95493197278911,91.55051020408165,1.030645161290323,15.499820788530466,2018
Adilabad,Jun,7.836315789473684,24.977543859649124,35.54298245614035,47.24105263157895,82.3859649122807,0.8857407407407407,17.800185185185185,2018
Adilabad,Mar,0.2042444821731748,21.5106960950764,36.91850594227504,19.259252971137524,52.99660441426146,0.0915770609318996,14.32921146953405,2018
Adilabad,May,1.1151103565365024,28.420882852292024,42.37741935483871,19.453820033955857,55.644991511035656,0.6921146953405017,18.462544802867384,2018
Adilabad,Nov,0.0075438596491228,16.780877192982455,33.03122807017544,35.09754385964912,83.83105263157894,0.0065055762081784,8.84182156133829,2018
Adilabad,Oct,0.0200972447325769,19.817828200972446,34.24927066450567,39.23354943273906,88.4354943273906,0.0436860068259385,9.87457337883959,2018
Adilabad,Sep,4.335789473684211,23.246315789473684,32.55719298245614,58.88578947368421,91.76105263157896,0.1107407407407407,11.792592592592593,2018
Karimnagar,Apr,0.6486666666666666,24.605466666666665,38.782266666666665,29.90253333333333,80.24773333333334,0.0859437751004016,11.694912985274431,2018
Karimnagar,Aug,10.038451612903224,24.80283870967742,31.40232258064516,71.65754838709677,94.54670967741936,0.516,12.58116129032258,2018
Karimnagar,Dec,0.6034981905910736,17.51073582629674,29.805790108564537,47.91712907117009,92.62689987937271,0.0838359469240048,6.653317249698432,2018
Karimnagar,Feb,0.0012857142857142,17.089428571428574,33.261714285714284,30.57357142857143,79.32485714285714,0.0521428571428571,8.915285714285714,2018
Karimnagar,Jan,0.0,14.287096774193548,31.40289032258065,30.324516129032254,84.90593548387098,0.0052903225806451,6.776129032258065,2018
Karimnagar,Jul,7.324774193548387,25.185935483870967,31.696774193548386,69.81574193548387,92.39225806451611,0.519483870967742,13.010451612903228,2018
Karimnagar,Jun,4.332533333333333,25.9432,36.8304,43.87853333333334,82.08466666666666,0.2650666666666667,12.9556,2018
Karimnagar,Mar,0.1118709677419354,20.76,36.51483870967742,26.08916129032258,75.85290322580646,0.0229677419354838,9.071096774193547,2018
Karimnagar,May,1.0011612903225806,27.311483870967745,41.86683870967742,24.386064516129032,71.03664516129032,0.2709677419354839,12.958967741935483,2018
Karimnagar,Nov,0.0,18.93453333333333,34.114,35.062533333333334,89.83546666666668,0.0015999999999999,6.8272,2018
Karimnagar,Oct,0.1170940170940171,21.987789987789988,34.64639804639805,47.61623931623932,92.93614163614164,0.0267399267399267,6.276190476190476,2018
Karimnagar,Sep,3.4033333333333333,24.407733333333333,33.8512,61.3856,95.6632,0.0568,8.6264,2018
Khammam,Apr,0.2367543859649123,25.173947368421054,38.98368421052632,35.79411247803163,87.8384007029877,0.2436083408884859,10.393200362647326,2018
Khammam,Aug,11.943718166383702,25.006027164685907,32.578098471986415,69.42351443123938,93.7953310696095,0.1765475152571926,9.910549258936356,2018
Khammam,Dec,1.8944805194805197,19.589935064935062,30.935146103896106,53.45560064935065,94.05243506493508,0.0724723874256584,5.229566694987256,2018
Khammam,Feb,0.0010338345864661,18.28402255639098,34.300187969924814,32.50827067669173,90.0031954887218,0.0083011583011583,7.457818532818533,2018
Khammam,Jan,0.0,17.2830220713073,32.46216468590832,36.737011884550085,92.1588285229202,8.71839581517001e-05,5.651438535309503,2018
Khammam,Jul,5.71502546689304,25.672920203735146,33.06612903225807,66.55076400679117,91.91061120543291,0.1734960767218831,10.464428945074108,2018
Khammam,Jun,5.161578947368421,26.748947368421053,37.083333333333336,49.240175438596495,83.53333333333333,0.1645045045045045,10.958378378378375,2018
Khammam,Mar,0.3062818336162988,21.73438030560272,36.89244482173175,33.80169779286927,91.94932088285228,0.1007846556233652,7.405231037489101,2018
Khammam,May,0.7628183361629881,26.991850594227504,40.77809847198642,35.619439728353136,82.71315789473685,0.3088927637314734,11.122231909328685,2018
Khammam,Nov,0.1971052631578947,20.78912280701754,34.15824561403509,42.35938596491228,91.36666666666666,0.0160447761194029,5.580503731343284,2018
Khammam,Oct,0.8423076923076923,23.27788461538461,35.27091346153846,48.184134615384615,91.64054487179487,0.0187129551227773,5.514563928873836,2018
Khammam,Sep,2.118859649122807,25.155087719298244,34.833771929824564,57.649298245614034,92.44026315789472,0.0574565416285452,6.968526989935956,2018
Nizamabad,Apr,0.1418803418803418,24.77435897435897,39.71299145299145,20.7317094017094,64.93205128205128,0.0323630136986301,10.019349315068494,2018
Nizamabad,Aug,11.939454094292804,24.156575682382133,30.701488833746897,71.36335814722912,93.76004962779156,0.3736145574855252,9.867907361455748,2018
Nizamabad,Dec,0.385827395091053,16.811163895486935,29.692557403008703,43.24346793349169,90.1686460807601,0.0460807600950118,6.068883610451306,2018
