,district,odate,rainfall,temp_min,temp_max,avg_temp,max_temp_pred,avg_temp_pred,temp_range,heatwave_pred
0,Adilabad,2018-01-01,0.0,11.200000000000001,30.436842105263157,20.818421052631578,30.681278937643945,21.120828340607865,9.56045059703608,True
1,Adilabad,2018-01-02,0.0,11.810526315789474,31.173684210526314,21.492105263157896,31.250536964339133,21.73095033612309,9.519586628216043,True
2,Adilabad,2018-01-03,0.0,11.626315789473685,31.121052631578944,21.373684210526317,31.15898508513287,21.477925961738375,9.681059123394494,True
3,Adilabad,2018-01-04,0.0,11.200000000000001,30.3,20.75,30.56630308835711,20.962677109059186,9.603625979297924,True
4,Adilabad,2018-01-05,0.0,10.700000000000001,29.410526315789472,20.05526315789474,29.85678415215775,20.413791651681887,9.442992500475864,True
5,Adilabad,2018-01-06,0.0,11.610526315789473,31.336842105263155,21.473684210526315,31.320608337276134,21.704466994726257,9.616141342549877,True
6,Adilabad,2018-01-07,0.0,12.799999999999999,31.457894736842107,22.128947368421052,31.28881424695105,22.020709482307566,9.268104764643482,True
7,Adilabad,2018-01-08,0.0,12.43157894736842,29.644736842105264,21.038157894736845,30.055404460259776,21.06357690005849,8.991827560201287,True
8,Adilabad,2018-01-09,0.0,11.657894736842104,29.989473684210523,20.823684210526313,30.28089078231466,21.073578321185593,9.207312461129067,True
9,Adilabad,2018-01-10,0.0,11.56842105263158,29.23157894736842,20.400000000000002,29.639776302497523,20.674764124665895,8.965012177831628,True
10,Adilabad,2018-01-11,0.0,12.93157894736842,30.463157894736838,21.69736842105263,30.601339317341285,21.84431527174909,8.757024045592196,True
11,Adilabad,2018-01-12,0.0,14.089473684210526,31.931578947368422,23.010526315789473,31.587848647170645,22.768832233235912,8.819016413934733,True
12,Adilabad,2018-01-13,0.0,14.536842105263156,32.88421052631579,23.710526315789473,32.40905851205707,23.29054269955636,9.11851581250071,True
13,Adilabad,2018-01-14,0.0,15.13684210526316,33.11052631578948,24.123684210526317,32.60121276319019,23.67449854930954,8.92671421388065,True
14,Adilabad,2018-01-15,0.0,17.621052631578948,33.857894736842105,25.739473684210527,33.31416517055921,25.13373901558278,8.180426154976427,True
15,Adilabad,2018-01-16,0.0,14.294736842105264,33.48947368421052,23.892105263157895,33.04994553167786,23.41738154513699,9.632563986540866,True
16,Adilabad,2018-01-17,0.0,12.84736842105263,32.300000000000004,22.573684210526313,32.3132300482506,22.71186730487662,9.601362743373983,True
17,Adilabad,2018-01-18,0.0,14.057894736842107,32.89473684210526,23.476315789473684,32.76801642884098,23.614543271348722,9.153473157492257,True
18,Adilabad,2018-01-19,0.0,11.057894736842105,31.3,21.178947368421053,31.549491525394714,21.44072683078115,10.108764694613566,True
19,Adilabad,2018-01-20,0.0,10.299999999999999,30.963157894736838,20.63157894736842,31.379114830190403,21.32537015261511,10.053744677575292,True
20,Adilabad,2018-01-21,0.0,11.089473684210526,31.26842105263158,21.178947368421053,31.474669496854638,21.689396602902796,9.785272893951841,True
21,Adilabad,2018-01-22,0.0,11.521052631578948,31.105263157894736,21.313157894736843,31.373651861034606,21.648906939963148,9.724744921071458,True
22,Adilabad,2018-01-23,0.0,13.973684210526315,32.1578947368421,23.06578947368421,32.11369613087813,23.12938952123028,8.984306609647852,True
23,Adilabad,2018-01-24,0.0,16.55263157894737,31.963157894736838,24.257894736842104,31.945508831613783,23.90446704260762,8.041041789006162,True
24,Adilabad,2018-01-25,0.0,11.842105263157896,30.90526315789474,21.373684210526317,31.1945963980625,21.357426800029764,9.837169598032737,True
25,Adilabad,2018-01-26,0.0,9.563157894736841,30.27368421052632,19.91842105263158,30.703826346719943,20.585875574937297,10.117950771782645,True
26,Adilabad,2018-01-27,0.0,10.063157894736841,30.900000000000002,20.48157894736842,31.137883325884896,21.09195223064136,10.045931095243535,True
27,Adilabad,2018-01-28,0.0,11.15263157894737,31.489473684210523,21.321052631578947,31.512426331551207,21.61843815559855,9.893988175952657,True
28,Adilabad,2018-01-29,0.0,12.426315789473685,32.5,22.46315789473684,32.29750169636874,22.47501840716139,9.822483289207351,True
29,Adilabad,2018-01-30,0.0,12.389473684210527,32.18421052631579,22.28684210526316,32.0377642368104,22.188621383155187,9.849142853655216,True
30,Adilabad,2018-01-31,0.0,12.236842105263158,32.49473684210526,22.36578947368421,32.38065798694589,22.357657306481965,10.023000680463927,True
31,Adilabad,2018-02-01,0.0,12.426315789473684,33.62105263157895,23.023684210526316,33.19103433087462,22.92576917646554,10.265265154409082,True
32,Adilabad,2018-02-02,0.0,12.273684210526316,33.73157894736842,23.00263157894737,33.351757642762344,22.849876724852393,10.50188091790995,True
33,Adilabad,2018-02-03,0.0,12.610526315789473,34.636842105263156,23.623684210526314,34.10619516031488,23.46160766959388,10.644587490721001,True
34,Adilabad,2018-02-04,0.0,15.936842105263159,34.357894736842105,25.147368421052633,33.93583823122972,24.732945040784735,9.202893190444982,True
35,Adilabad,2018-02-05,0.0,16.147368421052633,33.363157894736844,24.75526315789474,33.30668265325414,24.27271957288591,9.033963080368231,True
36,Adilabad,2018-02-06,0.0,15.257894736842104,33.421052631578945,24.339473684210525,33.3738769053064,24.122735055361083,9.25114184994532,True
37,Adilabad,2018-02-07,0.0,18.28421052631579,33.51052631578948,25.897368421052633,33.439575208929575,25.57080983500334,7.868765373926234,True
38,Adilabad,2018-02-08,0.0,15.484210526315788,30.984210526315792,23.23421052631579,31.532861647783626,23.07981065602891,8.453050991754715,True
