district,month,aqi,year
Adilabad,May,80.33333333333333,2019
Adilabad,Jun,76.55555555555556,2019
Adilabad,Jul,78.0,2019
Adilabad,Aug,79.0,2019
Adilabad,Sep,73.44444444444444,2019
Adilabad,Oct,72.37037037037037,2019
Adilabad,Nov,78.66666666666667,2019
Adilabad,Dec,73.3703703703704,2019
Karimnagar,Jan,104.33333333333331,2019
Karimnagar,Feb,102.0,2019
Karimnagar,Mar,103.33333333333331,2019
Karimnagar,Apr,109.14285714285714,2019
Karimnagar,May,103.22222222222224,2019
Karimnagar,Jun,99.44444444444444,2019
Karimnagar,Jul,99.55555555555556,2019
Karimnagar,Aug,99.375,2019
Karimnagar,Sep,96.75,2019
Karimnagar,Oct,102.0,2019
Karimnagar,Nov,104.55555555555556,2019
Karimnagar,Dec,112.22222222222224,2019
Khammam,Jan,94.37037037037038,2019
Khammam,Feb,90.44444444444444,2019
Khammam,Mar,90.66666666666669,2019
Khammam,Apr,89.89248971193416,2019
Khammam,May,88.22222222222223,2019
Khammam,Jun,81.38888888888889,2019
Khammam,Jul,77.29156684376422,2019
Khammam,Aug,84.08333333333334,2019
Khammam,Sep,77.92592592592592,2019
Khammam,Oct,85.94444444444444,2019
Khammam,Nov,84.85185185185185,2019
Khammam,Dec,84.22222222222221,2019
Warangal,Jan,89.37037037037038,2019
Warangal,Feb,90.55555555555556,2019
Warangal,Mar,91.27777777777776,2019
Warangal,Apr,91.56539605479388,2019
Warangal,May,92.61111111111111,2019
Warangal,Jun,86.9074074074074,2019
Warangal,Jul,88.00925925925927,2019
Warangal,Aug,80.80208333333334,2019
Warangal,Sep,74.22916666666666,2019
Warangal,Oct,88.16666666666666,2019
Warangal,Nov,89.07407407407408,2019
Warangal,Dec,88.72222222222221,2019
Nizamabad,Jan,64.0,2020
Nizamabad,Feb,63.55555555555556,2020
Nizamabad,Mar,66.44444444444444,2020
Nizamabad,Apr,38.333333333333336,2020
Nizamabad,May,50,2020
Nizamabad,Jun,52.0,2020
Nizamabad,Jul,63.0,2020
Nizamabad,Aug,60.0,2020
Nizamabad,Sep,62,2020
Nizamabad,Oct,62.0,2020
Nizamabad,Nov,62.55555555555556,2020
Nizamabad,Dec,81,2020
Adilabad,Jan,78.0,2020
Adilabad,Feb,81.70370370370371,2020
Adilabad,Mar,70.81481481481482,2020
Adilabad,Apr,51.5,2020
Adilabad,May,-,2020
Adilabad,Jun,74.0,2020
Adilabad,Jul,74.0,2020
Adilabad,Aug,72.0,2020
Adilabad,Sep,72,2020
Adilabad,Oct,72.0,2020
Adilabad,Nov,-,2020
Adilabad,Dec,-,2020
Karimnagar,Jan,110.66666666666667,2020
Karimnagar,Feb,114.0,2020
Karimnagar,Mar,110.0,2020
Karimnagar,Apr,39,2020
Karimnagar,May,72,2020
Karimnagar,Jun,58.333333333333336,2020
Karimnagar,Jul,114.0,2020
Karimnagar,Aug,70.0,2020
Karimnagar,Sep,96,2020
Karimnagar,Oct,137.0,2020
Karimnagar,Nov,113.55555555555556,2020
Karimnagar,Dec,108,2020
Khammam,Jan,88.29629629629629,2020
Khammam,Feb,84.0,2020
Khammam,Mar,83.0,2020
Khammam,Apr,80,2020
Khammam,May,63,2020
Khammam,Jun,47.888888888888886,2020
Khammam,Jul,70.0,2020
Khammam,Aug,37.142857142857146,2020
Khammam,Sep,52,2020
Khammam,Oct,62.0,2020
Khammam,Nov,82.5,2020
Khammam,Dec,94.88888888888889,2020
Warangal,Jan,90.25925925925925,2020
Warangal,Feb,88.0,2020
Warangal,Mar,69.5,2020
Warangal,Apr,39.5,2020
Warangal,May,53.0,2020
Warangal,Jun,50.18055555555556,2020
Warangal,Jul,62.0,2020
Warangal,Aug,64.025,2020
Warangal,Sep,53.0,2020
Warangal,Oct,60.0,2020
Warangal,Nov,88.61111111111111,2020
Warangal,Dec,75.44444444444444,2020
Nizamabad,Jan,68.5925925925926,2021
Nizamabad,Feb,68.0,2021
Nizamabad,Mar,66.0,2021
Nizamabad,Apr,69.0,2021
Nizamabad,May,41,2021
Nizamabad,Jun,-,2021
Nizamabad,Jul,54,2021
Nizamabad,Aug,45,2021
Nizamabad,Sep,43,2021
Nizamabad,Oct,59,2021
Nizamabad,Nov,66,2021
Nizamabad,Dec,56.74074074074075,2021
Adilabad,Jan,-,2021
Adilabad,Feb,62.0,2021
Adilabad,Mar,73.0,2021
Adilabad,Apr,74.0,2021
Adilabad,May,67,2021
Adilabad,Jun,-,2021
Adilabad,Jul,-,2021
Adilabad,Aug,-,2021
Adilabad,Sep,-,2021
Adilabad,Oct,-,2021
Adilabad,Nov,-,2021
Adilabad,Dec,-,2021
Karimnagar,Jan,109.625,2021
Karimnagar,Feb,110.0,2021
Karimnagar,Mar,69.0,2021
Karimnagar,Apr,73.0,2021
Karimnagar,May,68,2021
Karimnagar,Jun,72,2021
Karimnagar,Jul,57,2021
Karimnagar,Aug,64,2021
Karimnagar,Sep,65.52192329380799,2021
Karimnagar,Oct,68,2021
Karimnagar,Nov,73,2021
